3_age_1,3
3_age_56,8
3_age_25,13
3_age_45,17
3_age_50,23
3_age_35,27
3_age_18,54
3_gender_F,4
3_gender_M,9
3_occupation_10,2
3_occupation_16,7
3_occupation_15,12
3_occupation_7,16
3_occupation_20,20
3_occupation_9,22
3_occupation_1,26
3_occupation_12,30
3_occupation_17,33
3_occupation_0,44
3_occupation_3,53
3_occupation_14,59
3_occupation_4,70
3_occupation_11,75
3_occupation_8,106
3_occupation_19,115
3_occupation_2,124
3_occupation_18,156
3_occupation_5,159
3_occupation_13,202
3_occupation_6,276
